"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2558","TC-006 - Register avec date de naissance vide","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","3900","TC-003 - Register avec email déjà utilisé","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1025","TC-011 - Vérifier la présence des champs email et mot de passe","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","3175","TC-015 - Cocher plusieurs catégories (produits combinés)","chromium","2026-08-10","passed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","4560","TC-010 - Total par ligne correct (prix × quantité initiale)","firefox","2026-08-10","failed","2026-08-10","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","1590","TC-021 - Email inexistant","firefox","2026-08-10","passed","2026-08-10","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","1574","TC-017 - Login réussi > redirection /account","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","2130","TC-015 - Login avec mot de passe vide","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","1945","TC-008 - Tri des noms de produits (Z-A)","chromium","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6683","TC-012 - Total général = somme de tous les totaux par ligne","firefox","2026-08-10","failed","2026-08-10","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","2513","TC-011 - Vérifier la présence des champs email et mot de passe","firefox","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","2320","TC-014 - Cocher une catégorie","chromium","2026-08-10","passed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","5567","TC-035 - Cliquer en étant connecté - produit ajouté aux favoris","firefox","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","3499","TC-029 - Vérifier présence du sélecteur de quantité","chromium","2026-08-10","passed","2026-08-10","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","2353","TC-010 - Mot de passe 11 caractères","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1810","TC-019 - Lien Forgot your password visible sur la page Login","chromium","2026-08-10","passed","2026-08-10","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","2823","TC-013 - Vérifier la présence du bouton de suppression","chromium","2026-08-10","passed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","3624","TC-022 - Décocher une marque - filtre retiré","firefox","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","7209","TC-005 - Vérifier la présence des 5 champs obligatoires","firefox","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","2521","TC-016 - Login avec email mal formaté","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","2661","TC-004 - Register avec email mal formaté","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","2638","TC-020 - Cocher une marque - seuls ses produits affichés","chromium","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","3475","TC-024 - Cocher eco-friendly - seuls produits éco affichés","firefox","2026-08-10","failed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","6993","TC-015 - Total du panier mis à jour après suppression","firefox","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","8075","TC-007 - Modifier la quantité (mise à jour correcte)","firefox","2026-08-10","passed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","1555","TC-013 - Login avec mauvais mot de passe","chromium","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","6959","TC-008 - Quantité à 0 (soumission bloquée ou remise à 1)","firefox","2026-08-10","failed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","2140","TC-023 - Vérifier la présence du bouton de déconnexion","chromium","2026-08-10","passed","2026-08-10","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","5315","TC-013 - Vérifier la présence des checkboxes de catégories","firefox","2026-08-10","passed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","5191","TC-018 - Élément propre à /account affiché après login","firefox","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","10291","TC-017 - Nav catégorie valide (redirection correcte)","firefox","2026-08-10","failed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","7910","TC-006 - Vérifier le titre de la section Billing Address","firefox","2026-08-10","failed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","2029","TC-028 - Option de déconnexion visible dans le menu","chromium","2026-08-10","passed","2026-08-10","Menu utilisateur connecté","Sprint_1___Access-management/automatisation/tests/navbar.spec.ts","",""
"","5033","TC-016 - Login avec email mal formaté","firefox","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","4603","TC-015 - Total du panier mis à jour après suppression","chromium","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","2644","TC-009 - Mot de passe 10 caractères","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","2147","TC-001 - Vérifier la présence du bouton Add to cart","chromium","2026-08-10","passed","2026-08-10","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","4896","TC-002 - Login avec credentials valides (accès vers Billing Address)","firefox","2026-08-10","passed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","2170","TC-002 - Recherche avec terme valide","chromium","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","2588","TC-022 - Décocher une marque - filtre retiré","chromium","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","3748","TC-001 - Vérifier que la section Sign In est accessible depuis le checkout","firefox","2026-08-10","passed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","2266","TC-019 - Vérifier la présence des checkboxes de marques","firefox","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","3991","TC-009 - Tri Price (High-Low)","firefox","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","4216","TC-002 - Login avec credentials valides (accès vers Billing Address)","chromium","2026-08-10","passed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","3222","TC-006 - Vérifier la présence du champ de quantité","chromium","2026-08-10","passed","2026-08-10","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","4937","TC-007 - Mot de passe 8 caractères","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","4325","TC-004 - Ajouter plusieurs produits différents","chromium","2026-08-10","passed","2026-08-10","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","8440","TC-027 - Modifier valeur max - produits filtrés correctement","firefox","2026-08-10","failed","2026-08-10","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","5343","TC-031 - Cliquer sur - (quantité décrémente de 1)","firefox","2026-08-10","failed","2026-08-10","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","6197","TC-032 - Quantité minimum - impossible de descendre sous 1","firefox","2026-08-10","passed","2026-08-10","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","3028","TC-020 - Cocher une marque - seuls ses produits affichés","firefox","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","2971","TC-006 - Register avec date de naissance vide","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","2780","TC-030 - Cliquer sur + (quantité incrémente de 1)","chromium","2026-08-10","failed","2026-08-10","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","3149","TC-035 - Cliquer en étant connecté - produit ajouté aux favoris","chromium","2026-08-10","passed","2026-08-10","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","5756","TC-004 - Ajouter plusieurs produits différents","firefox","2026-08-10","passed","2026-08-10","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","4141","TC-010 - Tri Price (Low-High)","firefox","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6382","TC-013 - Champs vides","chromium","2026-08-10","passed","2026-08-10","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","2935","TC-002 - Register avec données valides","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","3095","TC-029 - Vérifier présence du sélecteur de quantité","firefox","2026-08-10","passed","2026-08-10","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","1807","TC-004 - Recherche vide","chromium","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","2769","TC-001 - Vérifier que la section Sign In est accessible depuis le checkout","chromium","2026-08-10","passed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","7882","TC-008 - Mot de passe 9 caractères","firefox","2026-08-10","failed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1342","TC-023 - Vérifier présence checkbox Sustainability","chromium","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","7145","TC-010 - Vérifier que toutes les options du select sont valides","firefox","2026-08-10","failed","2026-08-10","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","4840","TC-014 - Cocher une catégorie","firefox","2026-08-10","passed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","4000","TC-023 - Vérifier présence checkbox Sustainability","firefox","2026-08-10","passed","2026-08-10","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","4102","TC-012 - Total général = somme de tous les totaux par ligne","chromium","2026-08-10","failed","2026-08-10","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","5406","TC-008 - Formulaire complet (passage vers Payment)","chromium","2026-08-10","passed","2026-08-10","Billing Address","Sprint_4___Checkout/automatisation/tests/billing-address.spec.ts","",""
"","3856","TC-008 - Tri des noms de produits (Z-A)","firefox","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","5138","TC-004 - Register depuis le checkout (redirection vers Billing Address)","firefox","2026-08-10","failed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","2213","TC-010 - Tri Price (Low-High)","chromium","2026-08-10","failed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
